"","danceability","energy","loudness","mode","speechiness","instrumentalness","valence","tempo","track.duration_ms","track.explicit","track.popularity","track.name","key_name","track.album.release_date","mode_name","key_mode"
"1",0.803,0.715,-3.28,1,0.298,0.000134,0.574,101.085,200960,FALSE,86,"Tusa","D","2019-11-07","major","D major"
"2",0.514,0.73,-5.934,1,0.0598,9.54e-05,0.334,171.005,200040,FALSE,95,"Blinding Lights","C#","2020-03-20","major","C# major"
"3",0.607,0.829,-4.074,1,0.379,0,0.685,96.172,295176,TRUE,82,"Safaera","D","2020-02-28","major","D major"
"4",0.783,0.727,-3.454,0,0.389,2.46e-05,0.558,180.067,199112,FALSE,85,"Hawái","F#","2020-08-21","minor","F# minor"
"5",0.883,0.668,-2.957,1,0.113,0.000529,0.676,87.972,226532,FALSE,79,"Sigues Con El","A","2019-12-13","major","A major"
"6",0.86,0.758,-5.16,1,0.0695,6.54e-05,0.453,97.014,172127,FALSE,81,"Yo Perreo Sola","B","2020-02-28","major","B major"
"7",0.728,0.542,-5.195,1,0.0514,0,0.637,90.016,227233,TRUE,80,"Pa' Olvidarme De Ella","C","2019-09-06","major","C major"
"8",0.652,0.595,-4.04,1,0.113,0.000115,0.444,172.27,150853,FALSE,75,"Rojo","B","2020-02-27","major","B major"
"9",0.9,0.603,-5.313,1,0.0646,4.81e-06,0.824,129.928,170971,FALSE,81,"Si Veo a Tu Mamá","D","2020-02-28","major","D major"
"10",0.881,0.696,-3.838,0,0.0797,4.13e-05,0.781,97.002,200666,FALSE,74,"Morado","B","2020-01-09","minor","B minor"
"11",0.886,0.672,-4.394,1,0.188,8.78e-06,0.526,91.976,192024,TRUE,72,"Vete","C#","2020-02-28","major","C# major"
"12",0.843,0.836,-2.474,0,0.0695,0.00138,0.65,94.018,205933,FALSE,83,"Azul","B","2020-03-19","minor","B minor"
"13",0.85,0.536,-5.161,1,0.0599,3.89e-05,0.505,96.029,210606,TRUE,74,"Ignorantes","C#","2020-02-28","major","C# major"
"14",0.793,0.793,-4.521,0,0.083,0,0.679,123.95,183290,FALSE,83,"Don't Start Now","B","2020-03-27","minor","B minor"
"15",0.814,0.714,-4.65,0,0.207,4.89e-06,0.789,176.013,345240,TRUE,77,"La Jeepeta - Remix","E","2020-07-24","minor","E minor"
"16",0.65,0.558,-3.082,1,0.0309,0,0.725,141.82,159533,FALSE,73,"Se Me Olvidó","C","2020-05-29","major","C major"
"17",0.861,0.678,-4.157,0,0.0536,2.42e-05,0.723,103.994,259600,FALSE,78,"Jangueo","G#","2019-11-08","minor","G# minor"
