"","danceability","energy","loudness","mode","speechiness","instrumentalness","valence","tempo","track.duration_ms","track.explicit","track.popularity","track.name","key_name","track.album.release_date","mode_name","key_mode"
"1",0.514,0.73,-5.934,1,0.0598,9.54e-05,0.334,171.005,200040,FALSE,95,"Blinding Lights","C#","2020-03-20","major","C# major"
"2",0.825,0.593,-6.401,0,0.0988,0.000161,0.54,98.078,209754,FALSE,68,"Dance Monkey","F#","2019-05-10","minor","F# minor"
"3",0.896,0.586,-6.687,0,0.0559,0,0.642,116.971,196652,TRUE,87,"The Box","A#","2019-12-06","minor","A# minor"
"4",0.785,0.721,-5.457,1,0.0506,0.00432,0.894,121.962,176218,TRUE,67,"Roses - Imanbek Remix","G#","2019-09-13","major","G# major"
"5",0.793,0.793,-4.521,0,0.083,0,0.679,123.95,183290,FALSE,83,"Don't Start Now","B","2020-03-27","minor","B minor"
"6",0.746,0.69,-7.956,1,0.164,0,0.497,89.977,181733,TRUE,90,"ROCKSTAR (feat. Roddy Ricch)","B","2020-04-17","major","B major"
"7",0.548,0.816,-4.209,1,0.0465,0,0.557,95.39,174000,FALSE,89,"Watermelon Sugar","C","2019-12-13","major","C major"
"8",0.726,0.431,-8.765,0,0.135,0,0.348,144.026,173333,FALSE,87,"death bed (coffee for your head)","G#","2020-02-08","minor","G# minor"
"9",0.784,0.43,-8.756,0,0.0364,0,0.236,127.087,159381,FALSE,77,"Falling","A#","2020-03-26","minor","A# minor"
"10",0.501,0.405,-5.679,1,0.0319,0,0.446,109.891,182160,FALSE,89,"Someone You Loved","C#","2019-05-17","major","C# major"
"11",0.803,0.715,-3.28,1,0.298,0.000134,0.574,101.085,200960,FALSE,86,"Tusa","D","2019-11-07","major","D major"
"12",0.621,0.601,-5.616,0,0.148,0,0.457,116.735,163636,TRUE,84,"ROXANNE","F#","2019-10-10","minor","F# minor"
"13",0.695,0.762,-3.497,1,0.0395,0.00244,0.553,120.042,215280,FALSE,87,"Circles","C","2019-09-06","major","C major"
"14",0.774,0.554,-7.909,1,0.0383,0,0.349,99.034,162546,TRUE,81,"Blueberry Faygo","C","2020-02-06","major","C major"
"15",0.806,0.546,-6.637,1,0.0575,0,0.874,147.986,212866,FALSE,80,"Intentions (feat. Quavo)","A","2020-02-14","major","A major"
"16",0.83,0.49,-8.82,0,0.209,3.04e-06,0.845,81.604,247058,TRUE,77,"Toosie Slide","C#","2020-05-01","minor","C# minor"
"17",0.459,0.575,-4.858,1,0.0573,0,0.183,111.881,215106,FALSE,84,"Before You Go","D#","2019-11-22","major","D# major"
"18",0.787,0.673,-4.577,0,0.158,3.57e-06,0.786,110.962,237893,TRUE,84,"Say So","B","2019-11-07","minor","B minor"
"19",0.764,0.32,-7.209,1,0.0546,0,0.575,91.019,189486,FALSE,86,"Memories","B","2019-09-20","major","B major"
"20",0.795,0.574,-6.903,0,0.487,0,0.537,142.053,237918,TRUE,76,"Life Is Good (feat. Drake)","D","2020-05-15","minor","D minor"
"21",0.767,0.481,-8.52,0,0.0803,0,0.761,150.076,171374,TRUE,86,"Savage Love (Laxed - Siren Beat)","C","2020-06-11","minor","C minor"
"22",0.676,0.771,-3.675,1,0.0483,7e-06,0.569,99.048,207133,FALSE,85,"Adore You","G#","2019-12-13","major","G# major"
"23",0.789,0.72,-5.652,0,0.218,0,0.664,122.031,166793,FALSE,87,"Breaking Me","G#","2019-12-19","minor","G# minor"
"24",0.7,0.722,-3.558,0,0.0369,0,0.756,90.989,140525,TRUE,95,"Mood (feat. iann dior)","G","2020-07-24","minor","G minor"
"25",0.704,0.225,-14.454,0,0.0994,0.657,0.243,120.006,245425,FALSE,85,"everything i wanted","F#","2019-11-13","minor","F# minor"
"26",0.759,0.548,-6.049,0,0.029,0,0.749,116.967,190799,FALSE,80,"Señorita","A","2019-06-19","minor","A minor"
"27",0.701,0.425,-10.965,1,0.375,0.13,0.562,135.128,194087,FALSE,86,"bad guy","G","2019-03-29","major","G major"
"28",0.935,0.454,-7.509,1,0.375,0,0.357,133.073,187541,TRUE,90,"WAP (feat. Megan Thee Stallion)","C#","2020-08-07","major","C# major"
"29",0.878,0.525,-6.832,1,0.0578,0,0.694,112.022,158571,FALSE,82,"Sunday Best","F","2019-01-06","major","F major"
"30",0.808,0.745,-5.26,0,0.342,0,0.829,165.995,210800,TRUE,84,"Godzilla (feat. Juice WRLD)","A#","2020-01-17","minor","A# minor"
"31",0.676,0.506,-6.652,0,0.0958,0,0.497,145.842,208520,FALSE,74,"Yummy","A","2020-02-14","minor","A minor"
"32",0.73,0.729,-3.434,0,0.0883,1.39e-06,0.467,113.013,221820,FALSE,83,"Break My Heart","E","2020-03-27","minor","E minor"
"33",0.746,0.765,-4.41,0,0.0993,0,0.737,114.044,199053,FALSE,85,"Dynamite","F#","2020-08-28","minor","F# minor"
"34",0.862,0.631,-4.746,1,0.0515,0.000209,0.841,128.978,223488,TRUE,64,"Supalonely (feat. Gus Dapperton)","G","2020-11-13","major","G major"
"35",0.674,0.774,-7.567,0,0.0892,0.00188,0.33,112.05,176546,FALSE,84,"ily (i love you baby) (feat. Emilee)","B","2019-11-26","minor","B minor"
"36",0.672,0.855,-3.764,1,0.0397,0,0.646,123.056,182200,FALSE,79,"Rain On Me (with Ariana Grande)","A","2020-05-29","major","A major"
"37",0.598,0.427,-8.764,0,0.0317,5.83e-06,0.0605,76.469,175720,TRUE,86,"HIGHEST IN THE ROOM","G","2019-10-04","minor","G minor"
