"","track.name","track.popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track.duration_ms","track.explicit","playlist_name"
"1","Blinding Lights",95,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,FALSE,"Top Tracks of 2020"
"2","Dance Monkey",68,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209754,FALSE,"Top Tracks of 2020"
"3","The Box",87,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196652,TRUE,"Top Tracks of 2020"
"4","Roses - Imanbek Remix",67,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,176218,TRUE,"Top Tracks of 2020"
"5","Don't Start Now",83,0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,183290,FALSE,"Top Tracks of 2020"
"6","ROCKSTAR (feat. Roddy Ricch)",90,0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,181733,TRUE,"Top Tracks of 2020"
"7","Watermelon Sugar",89,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000,FALSE,"Top Tracks of 2020"
"8","death bed (coffee for your head)",87,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,173333,FALSE,"Top Tracks of 2020"
"9","Falling",77,0.784,0.43,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.087,159381,FALSE,"Top Tracks of 2020"
"10","Someone You Loved",89,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182160,FALSE,"Top Tracks of 2020"
"11","Tusa",86,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,FALSE,"Top Tracks of 2020"
"12","ROXANNE",84,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,163636,TRUE,"Top Tracks of 2020"
"13","Circles",87,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,FALSE,"Top Tracks of 2020"
"14","Blueberry Faygo",81,0.774,0.554,0,-7.909,1,0.0383,0.207,0,0.132,0.349,99.034,162546,TRUE,"Top Tracks of 2020"
"15","Intentions (feat. Quavo)",80,0.806,0.546,9,-6.637,1,0.0575,0.3,0,0.102,0.874,147.986,212866,FALSE,"Top Tracks of 2020"
"16","Toosie Slide",77,0.83,0.49,1,-8.82,0,0.209,0.289,3.04e-06,0.113,0.845,81.604,247058,TRUE,"Top Tracks of 2020"
"17","Before You Go",84,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,215106,FALSE,"Top Tracks of 2020"
"18","Say So",84,0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,237893,TRUE,"Top Tracks of 2020"
"19","Memories",86,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,189486,FALSE,"Top Tracks of 2020"
"20","Life Is Good (feat. Drake)",76,0.795,0.574,2,-6.903,0,0.487,0.067,0,0.15,0.537,142.053,237918,TRUE,"Top Tracks of 2020"
"21","Savage Love (Laxed - Siren Beat)",86,0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076,171374,TRUE,"Top Tracks of 2020"
"22","Adore You",85,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,FALSE,"Top Tracks of 2020"
"23","Breaking Me",87,0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031,166793,FALSE,"Top Tracks of 2020"
"24","Mood (feat. iann dior)",95,0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,90.989,140525,TRUE,"Top Tracks of 2020"
"25","everything i wanted",85,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245425,FALSE,"Top Tracks of 2020"
"26","Señorita",80,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190799,FALSE,"Top Tracks of 2020"
"27","bad guy",86,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194087,FALSE,"Top Tracks of 2020"
"28","WAP (feat. Megan Thee Stallion)",90,0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133.073,187541,TRUE,"Top Tracks of 2020"
